Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000131994	3	1	4	1	1	0	4
ENSMUSG00000073735	0	0	0	4	0	0	0
ENSMUSG00000067773	0	1	4	3	0	3	2
ENSMUSG00000101685	7	5	2	4	1	5	3
ENSMUSG00000132263	7	1	2	3	2	3	7
ENSMUSG00000132383	4	6	6	3	5	8	21
ENSMUSG00000101306	1	5	3	1	1	5	8
ENSMUSG00000134916	8	1	5	0	4	0	1
ENSMUSG00000088800	0	0	0	0	2	0	2
ENSMUSG00000101644	0	0	0	0	0	0	0
ENSMUSG00000099433	1	0	4	0	0	0	3
ENSMUSG00000089787	13	10	17	1	5	8	14
ENSMUSG00000042596	5	2	3	0	3	10	9
ENSMUSG00000100720	1	6	4	1	0	5	10
ENSMUSG00000025927	27	20	22	10	12	25	42
ENSMUSG00000142982	1	0	0	0	0	0	1
ENSMUSG00000100538	8	8	8	0	7	12	15
ENSMUSG00000101117	1	0	0	0	2	0	0
ENSMUSG00000100204	10	27	29	46	13	6	43
ENSMUSG00002076883	2	0	1	1	0	2	0
ENSMUSG00000141106	2	3	5	0	6	5	9
ENSMUSG00000102597	9	12	14	3	8	4	28
ENSMUSG00000142065	0	2	1	1	2	1	3
ENSMUSG00000136536	16	3	4	9	0	16	18
ENSMUSG00000043760	41	94	107	42	55	90	168
ENSMUSG00000104095	12	28	16	7	7	11	44
ENSMUSG00000089914	5	8	13	0	5	5	5
ENSMUSG00000090142	2	7	8	3	3	5	4
ENSMUSG00000070175	4	1	4	0	0	0	0
ENSMUSG00000099906	20	23	7	11	15	11	28
ENSMUSG00000065559	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0
ENSMUSG00000133531	7	1	7	0	5	1	14
ENSMUSG00000025929	0	1	1	1	0	2	1
ENSMUSG00000041872	15	4	18	2	11	8	26
ENSMUSG00000041859	509	1296	1907	3685	2923	421	1208
ENSMUSG00000099714	0	6	4	5	3	4	7
ENSMUSG00000102121	6	11	6	3	4	10	9
ENSMUSG00000088858	0	0	1	0	0	0	2
ENSMUSG00000097934	1	1	15	0	4	0	14
ENSMUSG00000025931	34	44	77	44	94	27	51
ENSMUSG00000077314	3	0	3	0	0	2	0
ENSMUSG00000133875	3	0	2	0	0	0	2
ENSMUSG00000100929	1	0	7	0	0	2	1
ENSMUSG00000041809	10	41	40	16	38	29	24
ENSMUSG00000041779	104	171	134	307	318	91	128
ENSMUSG00000137435	2	2	6	0	2	6	2
ENSMUSG00000099971	0	0	6	0	0	1	2
ENSMUSG00000129840	8	4	4	0	4	0	8
ENSMUSG00000100819	0	0	6	0	0	4	0
ENSMUSG00000129885	8	5	23	6	3	9	30
ENSMUSG00000099343	9	8	14	4	7	2	9
ENSMUSG00000025933	9	18	14	37	15	19	12
ENSMUSG00000102633	4	1	12	6	8	9	16
ENSMUSG00000025934	20	29	31	14	14	19	32
ENSMUSG00000138037	0	0	0	0	0	0	0
ENSMUSG00000096375	0	0	0	0	0	0	0
ENSMUSG00000121505	21	27	49	31	17	34	40
ENSMUSG00000025936	0	0	0	0	0	0	0
ENSMUSG00000141880	0	3	7	1	5	1	6
ENSMUSG00000093963	2	0	0	0	2	0	2
ENSMUSG00000141838	1	4	3	0	2	0	0
ENSMUSG00000067750	1	0	0	7	3	2	5
ENSMUSG00000086194	1	2	3	0	1	5	3
ENSMUSG00000141922	2	8	8	6	5	8	9
ENSMUSG00000094436	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	4	1	0	9	0
ENSMUSG00000085507	0	1	3	0	0	2	0
ENSMUSG00000094926	0	0	6	0	0	0	4
ENSMUSG00000085079	6	6	13	3	16	18	3
ENSMUSG00000129191	10	8	4	0	5	2	10
ENSMUSG00000085679	0	1	0	0	0	0	1
ENSMUSG00000028033	40	52	64	63	53	36	79
ENSMUSG00000104138	13	19	20	7	16	10	45
ENSMUSG00000128794	2	0	3	0	2	1	4
ENSMUSG00000082935	41	53	44	79	57	22	49
ENSMUSG00000103748	22	26	26	14	29	17	33
ENSMUSG00000124418	2	8	28	21	10	1	15
ENSMUSG00000123368	4	7	18	6	7	4	19
ENSMUSG00000099692	5	5	3	5	3	3	10
ENSMUSG00000140384	2	0	5	0	0	0	4
ENSMUSG00000124412	5	0	5	0	0	0	5
ENSMUSG00000100418	10	5	2	1	2	3	10
ENSMUSG00000128972	1	16	0	2	2	0	4
ENSMUSG00000135509	1	2	1	0	2	12	12
ENSMUSG00000041670	48	49	71	23	40	64	85
ENSMUSG00000097642	2	4	4	3	0	8	5
ENSMUSG00000131366	0	1	4	0	0	0	1
ENSMUSG00000141541	4	2	2	1	7	0	4
ENSMUSG00000128277	3	2	0	0	0	0	0
ENSMUSG00000101468	0	8	11	2	1	2	4
ENSMUSG00000101227	15	24	18	4	3	16	33
ENSMUSG00000073730	2	7	6	1	3	3	16
ENSMUSG00000141721	11	4	10	3	2	5	16
ENSMUSG00000141755	13	1	5	1	2	1	4
ENSMUSG00000089553	1	1	2	0	0	1	1
ENSMUSG00000102766	0	1	0	1	4	5	0
ENSMUSG00000134304	55	84	63	57	66	71	114
ENSMUSG00000065405	0	0	0	1	0	0	0
ENSMUSG00000097970	3	6	5	2	0	4	7
ENSMUSG00000065567	0	0	0	0	0	0	0
ENSMUSG00000100775	1	2	2	1	0	0	0
ENSMUSG00000133147	1	3	1	0	2	0	0
ENSMUSG00000101226	4	0	2	2	0	6	11
ENSMUSG00000026158	215	562	627	1133	943	193	422
ENSMUSG00000138593	14	5	7	3	2	7	17
ENSMUSG00000097920	4	4	10	3	4	4	12
ENSMUSG00000099503	21	16	34	4	4	7	16
ENSMUSG00000142633	0	0	3	2	0	0	2
ENSMUSG00000026156	21	24	48	28	45	40	69
ENSMUSG00000026155	117	201	153	323	260	63	167
ENSMUSG00000141937	0	4	4	1	2	0	4
ENSMUSG00000141893	5	6	11	0	9	2	8
ENSMUSG00000026154	28	53	44	84	67	24	45
ENSMUSG00000102495	7	3	3	2	6	2	7
ENSMUSG00000026153	84	157	102	100	178	85	188
ENSMUSG00000143955	0	0	2	0	0	0	0
