gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000001249.15	1.721273	2.313473	1.577861	2.548425	5.326436	0.865952	1.148709
ENSMUSG00000001260.11	0.515516	0.18347	0.672345	0.257878	0.319182	0.535182	0.863698
ENSMUSG00000001270.10	38.693916	120.689963	34.473364	108.659101	73.330025	10.046168	60.661687
ENSMUSG00000001280.14	2.020602	1.13438	1.62013	1.968764	3.875549	0.960713	1.769669
ENSMUSG00000001281.11	0	2.586525	1.109193	0	0.759717	0	1.509625
ENSMUSG00000001285.13	4.578403	7.386689	7.044389	14.920906	9.729339	2.938187	7.957374
ENSMUSG00000001288.16	2.389669	3.299324	2.699421	0.8956	2.235965	0	1.753538
ENSMUSG00000001289.13	17.448271	25.495928	12.609822	40.331416	30.373538	4.307804	21.712028
ENSMUSG00000001300.17	0.301517	0.129101	0.220753	0.125916	0.708409	0.029828	0.083607
ENSMUSG00000001305.6	1.792533	2.657396	3.536909	6.52839	3.36117	0.290804	3.580451
ENSMUSG00000001313.13	0.534372	0.844351	0.628569	0.55143	0.855971	0.261554	1.304836
ENSMUSG00000001323.18	1.875008	1.541878	2.629829	3.064529	3.001579	1.022233	3.117595
ENSMUSG00000001333.10	1.194728	2.214173	0.235038	1.064907	0.873007	0.199828	1.780675
ENSMUSG00000001334.11	0.640693	1.867292	0.204393	0.850003	0.881263	0.195224	1.266656
ENSMUSG00000001348.16	169.577407	441.76336	134.672434	367.191769	279.253441	34.966344	205.546746
ENSMUSG00000001349.6	0.576593	0.310619	0.569051	0.134841	0.579798	0.162664	0.200121
ENSMUSG00000001366.15	4.429773	7.486361	14.182885	10.637143	13.090702	2.024938	5.732626
ENSMUSG00000001376.18	5.218185	3.906146	6.091072	3.279847	3.008618	2.827016	8.455292
ENSMUSG00000001380.8	7.688792	9.612611	17.749709	23.562562	21.332195	3.501291	13.557316
