Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000039164	166.745	153.51	258.801	153.242	101.066	178.571	127.859	159.094	170.912	225.48	109.305	124.457	129.295	76.716	95.897	120.402	138.541	98.263	176.133	121.821
ENSMUSG000000200975	613	619.019	1024	640.273	478	686	410.37	575.249	571	734.359	460	549	463.999	350	310	428	575.001	389	626	550.534
ENSMUSG00000109943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087561	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1.001	0	1.016
ENSMUSG00000106714	21.65	30.849	21.774	25.127	19.395	20.739	17.201	9.565	31.644	28.468	19.676	13.243	34.159	28.569	8.157	25.231	25.308	10.38	24.959	13.154
ENSMUSG00000058745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000690200	432	449.001	665.152	433.001	302.016	430.001	308.785	398	469	590.212	269.999	313.011	278	196.999	194	254.999	324	244.12	337	346.001
ENSMUSG00000104177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000125207	0	0	0	2	0	0	0	1	0	0	1	1	1	3	1	0	0	0	1	0
ENSMUSG00000131692	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000385501	375	394	449.001	387.001	243	322	188.999	258	259	383	373.001	341	436.999	347	177.001	350.001	436.001	314	400.999	325
ENSMUSG00000127595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000613226	85	81	116	90	61	63	52	62	70	110	72	62	62	41	43	44	82	62	117.999	60
ENSMUSG000000534695	6	3	6	1	1	3	0	3	3	5	1	5	5	2	1	3	4	1	3	3
ENSMUSG00002076109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000125010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000122207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000121278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000365806	893	752	1355	852	664.999	809.999	508	785	805	1039	786.999	820	726.001	603	555	718.001	957	644.999	1103	892.999
ENSMUSG00000117035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG000000355403	0	0	0	0	1	1	0	0	1	0	0	3	0	0	0	1	0	0	1	1
ENSMUSG00000139153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000134098	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	2.424	1	0	0
ENSMUSG00000065246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065454	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000123554	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002075378	0	0	0	0	0	1.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000137785	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000124966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000132944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000530245	2403.71	2367.75	3405.81	2185.36	1868.55	2232.39	1165.45	1847.18	2010.74	2776.69	1062.83	1003.86	932.823	768.565	701.177	1131.1	1287.63	789.836	1136.42	1185.02
ENSMUSG00000129730	17.765	21.95	29.807	25.79	7.191	12.635	21.286	27.847	24.913	38.005	19.44	17.91	21.189	15.688	3.569	13.002	16.778	5.175	32.537	21.184
ENSMUSG00000114847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000082789	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000127290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000381514	20	19	69	32	14	23	38	18	22	21	24	27	34	9	11	10	41	24	15	30
ENSMUSG00000118600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000105717	1.01	0	2.126	0	0	0	1.866	0	0.838	1.002	2.129	1.005	0	0	0.962	0	0	0	0	0
ENSMUSG00000140515	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG000000268427	753.08	757.164	1137.57	727.009	560.201	754.229	424.699	591	751.169	919.003	391.192	426.078	431.101	275.001	276.999	368.002	500.337	311	579.124	423.001
ENSMUSG000000360611	349.001	289.999	548	338	238	398	220	322.001	371	493	206	274.999	265	164	196	233.999	296	235	358	274
ENSMUSG00000058921	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000134631	8.792	5.065	4.157	5.05	5.047	4.051	0	1.094	9.113	6.85	7.087	2	3.039	3.026	2	0	0	3.021	0	0
ENSMUSG00000083143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000124666	0	0	1.502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
