Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG00000100272	0	0	0	2	0	2	0	1	0	1	0	0
ENSMUSG00000137468	0	0	0	0	3	3	1	2	1	0	0	0
ENSMUSG00000137506	0	0	2	2	1	2	3	0	0	0	0	1
ENSMUSG00000100398	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589	25	32	35	19	15	39	52	27	27	38	27	46
ENSMUSG00000102048	0	0	0	2	4	0	2	0	2	0	0	0
ENSMUSG00000089534	0	2	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000067780	8	19	18	39	29	44	16	10	20	3	5	10
ENSMUSG00000100053	1	9	7	7	11	17	6	2	6	4	4	1
ENSMUSG00000085125	3	7	6	29	19	25	9	3	3	3	3	6
ENSMUSG000000257764	7	11	14	17	11	40	18	4	20	6	4	4
ENSMUSG00000099895	0	0	0	2	7	2	1	1	0	0	0	1
ENSMUSG00000109887	5	8	14	23	15	16	6	3	14	2	6	7
ENSMUSG00000100554	1	0	0	2	2	6	1	1	3	0	0	0
ENSMUSG00000099473	0	2	0	2	1	2	0	0	0	0	0	1
ENSMUSG00000099591	1	2	4	9	11	8	4	5	2	0	0	3
ENSMUSG00000102001	0	0	0	2	0	1	2	0	0	0	0	1
ENSMUSG00000101717	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG000000257745	3	2	5	12	6	27	3	3	4	1	0	0
ENSMUSG00000142595	0	2	5	8	4	7	3	0	0	2	0	5
ENSMUSG00000070977	0	0	1	1	0	1	0	0	0	0	0	0
ENSMUSG00000131994	1	0	7	8	0	8	0	0	6	1	3	1
ENSMUSG00000073735	0	0	0	2	1	2	2	1	0	0	0	0
ENSMUSG00000067773	0	1	1	3	3	12	1	2	1	0	0	0
ENSMUSG00000101685	9	12	5	14	9	13	4	3	14	7	4	5
ENSMUSG00000132263	0	3	2	8	5	6	1	1	0	2	1	0
ENSMUSG00000132383	0	1	1	0	5	4	1	0	0	1	0	1
ENSMUSG00000101306	0	2	2	3	1	5	1	0	1	0	1	2
ENSMUSG00000134916	0	0	3	6	1	3	3	0	0	0	0	0
ENSMUSG00000088800	0	0	0	1	0	2	0	0	1	0	0	0
ENSMUSG00000101644	0	0	0	2	2	1	0	0	0	0	1	0
ENSMUSG00000099433	0	1	0	2	0	0	1	1	0	0	0	0
ENSMUSG00000089787	5	0	4	4	2	14	6	1	8	4	0	1
ENSMUSG00000042596	2	8	5	14	8	18	9	3	10	4	1	7
ENSMUSG00000100720	2	2	4	5	4	6	5	1	6	1	1	3
ENSMUSG000000259274	20	29	39	61	42	70	27	20	42	13	10	20
ENSMUSG00000142982	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100538	9	16	8	33	20	28	11	13	18	0	7	9
ENSMUSG00000101117	0	0	1	2	0	3	0	0	0	0	0	0
ENSMUSG00000100204	14	13	20	10	3	16	23	8	35	4	14	17
ENSMUSG00002076883	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000141106	1	0	1	6	5	11	1	0	2	0	0	2
