Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000073722	6	5	15	8	7	20	8
ENSMUSG00000119695	0	2	3	1	3	8	0
ENSMUSG00000133566	16	9	12	4	6	1	15
ENSMUSG00000100310	0	0	3	0	0	0	2
ENSMUSG00000129952	9	9	9	1	2	15	32
ENSMUSG00000101514	15	14	12	9	10	20	24
ENSMUSG00000101033	0	1	0	0	0	0	5
ENSMUSG00000101372	7	6	14	10	7	6	10
ENSMUSG00000129466	4	6	4	4	7	7	9
ENSMUSG00000141222	2	4	4	0	1	7	10
ENSMUSG00000139702	1	1	5	3	6	10	1
ENSMUSG00000103241	5	5	2	4	3	6	8
ENSMUSG00000086240	0	5	5	8	0	5	4
ENSMUSG00000138065	14	18	25	10	13	43	29
ENSMUSG00000048411	16	12	2	1	1	5	18
ENSMUSG00000081557	13	4	16	0	1	12	5
ENSMUSG00000058590	4	0	7	0	3	2	6
ENSMUSG00000124238	0	2	0	4	0	0	2
ENSMUSG00000101235	1	9	6	3	3	0	6
ENSMUSG00002075209	0	1	1	0	0	0	0
ENSMUSG00002076857	0	2	0	0	0	0	2
ENSMUSG00002074912	0	0	0	0	0	4	3
ENSMUSG00000128221	1	0	5	0	3	3	4
ENSMUSG00000099257	0	0	0	0	0	0	0
ENSMUSG00000099492	2	0	11	9	3	0	3
ENSMUSG00000123191	2	6	2	7	3	4	0
ENSMUSG00000118548	1	8	7	3	5	10	8
ENSMUSG00000101726	0	4	15	2	1	3	4
ENSMUSG00002075317	0	3	2	0	0	0	1
ENSMUSG00000127937	39	49	72	21	33	59	84
ENSMUSG00002075289	0	0	0	0	3	0	0
ENSMUSG00000124992	9	3	5	1	0	1	2
